Central African Republic,Central African,Central Africans
Chad,Chadian,Chadians
Chile,Chilean,Chileans
China,Chinese,Chinese
Christmas Island,Christmas Island,Christmas Islanders
Cocos (Keeling) Islands,Cocos Island,Cocos Islanders
Colombia,Colombian,Colombians
Comoros,Comoran,Comorans
Comoros,Comorian,Comorians
Democratic Republic of the Congo,Congolese,Congolese
Republic of the Congo,Congolese,Congolese
Cook Islands,Cook Island,Cook Islanders
Costa Rica,Costa Rican,Costa Ricans
Croatia,Croatian,Croatians
Croatia,Croatian,Croats
Cuba,Cuban,Cubans
Curaçao,Curaçaoan,Curaçaoans
Cyprus,Cypriot,Cypriots
Czech Republic,Czech,Czechs
Denmark,Danish,Danes
Djibouti,Djiboutian,Djiboutians
Dominica,Dominican,Dominicans
Dominican Republic,Dominican,Dominicans
East Timor,Timorese,Timorese
Ecuador,Ecuadorian,Ecuadorians
Egypt,Egyptian,Egyptians
El Salvador,Salvadoran,Salvadorans
El Salvador,Salvadoran,Salvadorians
El Salvador,Salvadoran,Salvadoreans
England,English,English
England,English,Englishmen
England,English,Englishwomen
Equatorial Guinea,Equatorial Guinean,Equatorial Guineans
Equatorial Guinea,Equatoguinean,Equatoguineans
Eritrea,Eritrean,Eritreans
Estonia,Estonian,Estonians
Eswatini,Swazi,Swazis
Eswatini,Swati,Swazis
Ethiopia,Ethiopian,Ethiopians
Ethiopia,Ethiopian,Habesha
European Union,European,Europeans
Falkland Islands,Falkland Island,Falkland Islanders
Faroe Islands,Faroese,Faroese
Fiji,Fijian,Fijians
Finland,Finnish,Finns
France,French,French
France,French,Frenchmen
France,French,Frenchwomen
French Guiana,French Guianese,French Guianese
French Polynesia,French Polynesian,French Polynesians
French Southern Territories,French Southern Territories,French
Gabon,Gabonese,Gabonese
Gabon,Gabonese,Gabonaise
The Gambia,Gambian,Gambians
Georgia,Georgian,Georgians
Germany,German,Germans
Ghana,Ghanaian,Ghanaians
Gibraltar,Gibraltar,Gibraltarians
Greece,Greek,Greeks
Greece,Hellenic,Hellenes
Greenland,Greenland,Greenlanders
Grenada,Grenadian,Grenadians
Guadeloupe,Guadeloupe,Guadeloupians
Guadeloupe,Guadeloupe,Guadeloupeans
Guam,Guamanian,Guamanians
Guatemala,Guatemalan,Guatemalans
Guernsey,Guernsey,Guernseyman
Guernsey,Guernsey,Guernseywoman
Guinea,Guinean,Guineans
Guinea-Bissau,Bissau-Guinean,Bissau-Guineans
Guyana,Guyanese,Guyanese
Haiti,Haitian,Haitians
Heard Island and McDonald Islands,Heard Island,Heard Islanders
Heard Island and McDonald Islands,McDonald Island,McDonald Islanders
Honduras,Honduran,Hondurans
Hong Kong,Hong Kong,Hongkongers
Hong Kong,Cantonese,Hong Kongese
Hong Kong,Hong Konger,Hong Kongese
Hungary,Hungarian,Hungarians
Hungary,Magyar,Magyars
Iceland,Icelandic,Icelanders
India,Indian,Indians
Indonesia,Indonesian,Indonesians
Iran,Iranian,Iranians
Iran,Persian,Persians
Iraq,Iraqi,Iraqis
Ireland,Irish,Irish
Ireland,Irish,Irishmen
Ireland,Irish,Irishwomen
Isle of Man,Manx,Manx
Israel,Israeli,Israelis
Israel,Israelite,Israelis
Italy,Italian,Italians
Ivory Coast,Ivorian,Ivorians
Jamaica,Jamaican,Jamaicans
Jan Mayen,Jan Mayen,Jan Mayen residents
Japan,Japanese,Japanese
Jersey,Jersey,Jerseyman
Jersey,Jersey,Jerseywoman
Jersey,Jersey,Jersian
Jersey,Jersey,Jèrriais
Jordan,Jordanian,Jordanians
Kazakhstan,Kazakhstani,Kazakhstanis
Kazakhstan,Kazakh,Kazakhs
Kenya,Kenyan,Kenyans
Kiribati,Kiribati,I-Kiribati
North Korea,North Korean,Koreans
North Korea,North Korean,North Koreans
South Korea,South Korean,Koreans
South Korea,South Korean,South Koreans
Kosovo,Kosovar,Kosovars
Kosovo,Kosovan,Kosovars
Kuwait,Kuwaiti,Kuwaitis
Kyrgyzstan,Kyrgyzstani,Kyrgyzstanis
Kyrgyzstan,Kyrgyz,Kyrgyz
Kyrgyzstan,Kirgiz,Kirgiz
Kyrgyzstan,Kirghiz,Kirghiz
Laos,Lao,Laos
Laos,Laotian,Laotians
Latvia,Latvian,Latvians
Latvia,Lettish,Letts
Lebanon,Lebanese,Lebanese
Lesotho,Basotho,Basotho (singular Mosotho)
Liberia,Liberian,Liberians
Libya,Libyan,Libyans
Liechtenstein,Liechtensteiner,Liechtensteiners
Lithuania,Lithuanian,Lithuanians
Luxembourg,Luxembourg,Luxembourgers
Luxembourg,Luxembourgish,Luxembourgers
Macau,Macanese,Macanese
Macau,Macanese,Chinese
Madagascar,Malagasy,Malagasy
Malawi,Malawian,Malawians
Malaysia,Malaysian,Malaysians
Maldives,Maldivian,Maldivians
Mali,Malian,Malians
Mali,Malinese,Malians
Malta,Maltese,Maltese
Marshall Islands,Marshallese,Marshallese
Martinique,Martiniquais,Martiniquais
Martinique,Martinican,Martiniquaises
Mauritania,Mauritanian,Mauritanians
Mauritius,Mauritian,Mauritians
Mayotte,Mahoran,Mahorans
Mexico,Mexican,Mexicans
Micronesia,Micronesian,Micronesians
Moldova,Moldovan,Moldovans
Monaco,Monégasque,Monégasques
Monaco,Monacan,Monacans
Mongolia,Mongolian,Mongolians
Mongolia,Mongolian,Mongols
Montenegro,Montenegrin,Montenegrins
Montserrat,Montserratian,Montserratians
Morocco,Moroccan,Moroccans
Mozambique,Mozambican,Mozambicans
Myanmar,Myanma,Myanmars
Myanmar,Burmese,Myanmars
Namibia,Namibian,Namibians
Nauru,Nauruan,Nauruans
Nepal,Nepali,Nepalis
Nepal,Nepalese,Nepalese
Netherlands,Dutch,Dutch
Netherlands,Dutch,Dutchmen
Netherlands,Dutch,Dutchwomen
Netherlands,Dutch,Netherlanders
New Caledonia,New Caledonian,New Caledonians
New Zealand,New Zealand,New Zealanders
Nicaragua,Nicaraguan,Nicaraguans
Niger,Nigerien,Nigeriens
Nigeria,Nigerian,Nigerians
Niue,Niuean,Niueans
Norfolk Island,Norfolk Island,Norfolk Islanders
North Macedonia,Macedonian,Macedonians
Northern Ireland,Northern Irish,Northern Irish
Northern Ireland,Northern Irish,Northern Irishmen
Northern Ireland,Northern Irish,Northern Irishwomen
Northern Mariana Islands,Northern Marianan,Northern Marianans
Norway,Norwegian,Norwegians
Oman,Omani,Omanis
Pakistan,Pakistani,Pakistanis
Palau,Palauan,Palauans
Palestine,Palestinian,Palestinians
Panama,Panamanian,Panamanians
Papua New Guinea,Papua New Guinean,Papua New Guineans
Papua New Guinea,Papuan,Papuans
Paraguay,Paraguayan,Paraguayans
Peru,Peruvian,Peruvians
Philippines,Filipino,Filipinos
Philippines,Philippine,Filipinas
Pitcairn Islands,Pitcairn Island,Pitcairn Islanders
Poland,Polish,Poles
Portugal,Portuguese,Portuguese
Puerto Rico,Puerto Rican,Puerto Ricans
Qatar,Qatari,Qataris
Réunion,Réunionese,Réunionese
Réunion,Réunionnais,Réunionnais
Réunion,Réunionnais,Réunionnaises
Romania,Romanian,Romanians
Russia,Russian,Russians
Rwanda,Rwandan,Rwandans
Rwanda,Rwandan,Banyarwanda
Saba,Saba,Saba Dutch
Saba,Saban,Saba Dutch
Saint Barthélemy,Barthélemois,Barthélemois
Saint Barthélemy,Barthélemois,Barthélemoises
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian,Saint Helenians
Saint Kitts and Nevis,Kittitian,Kittitians
Saint Kitts and Nevis,Nevisian,Nevisians
Saint Lucia,Saint Lucian,Saint Lucians
Saint Martin,Saint-Martinoise,Saint-Martinois
Saint Martin,Saint-Martinoise,Saint-Martinoises
Saint Pierre and Miquelon,Saint-Pierrais,Saint-Pierrais
Saint Pierre and Miquelon,Miquelonnais,Saint-Pierraises
Saint Pierre and Miquelon,Miquelonnais,Miquelonnais
Saint Pierre and Miquelon,Miquelonnais,Miquelonnaises
Saint Vincent and the Grenadines,Saint Vincentian,Saint Vincentians
Saint Vincent and the Grenadines,Vincentian,Vincentians
Sahrawi,Sahrawi,Sahrawis
Sahrawi,Western Saharan,Western Saharans
Sahrawi,Sahrawian,Western Saharans
Samoa,Samoan,Samoans
San Marino,Sammarinese,Sammarinese
São Tomé and Príncipe,São Toméan,São Toméans
Saudi Arabia,Saudi,Saudis
Saudi Arabia,Saudi Arabian,Saudi Arabians
Scotland,Scottish,Scots
Scotland,Scottish,Scotsmen
Scotland,Scottish,Scotswomen
Senegal,Senegalese,Senegalese
Serbia,Serbian,Serbs
Serbia,Serbian,Serbians
Seychelles,Seychellois,Seychellois
Seychelles,Seychellois,Seychelloises
Sierra Leone,Sierra Leonean,Sierra Leoneans
Singapore,Singapore,Singaporeans
Singapore,Singaporean,Singaporeans
Sint Eustatius,Sint Eustatius,Statians
Sint Eustatius,Statian,Statians
Sint Maarten,Sint Maarten,Sint Maarteners
Slovakia,Slovak,Slovaks
Slovakia,Slovak,Slovakians
Slovenia,Slovenian,Slovenes
Slovenia,Slovene,Slovenians
Solomon Islands,Solomon Island,Solomon Islanders
Somalia,Somali,Somali
Somalia,Somalian,Somalians
Somaliland,Somalilander,Somalilanders
South Africa,South African,South Africans
South Georgia and the South Sandwich Islands,South Georgia Island,South Georgia Islanders
South Georgia and the South Sandwich Islands,South Sandwich Island,South Sandwich Islanders
South Ossetia,South Ossetian,South Ossetians
South Sudan,South Sudanese,South Sudanese
Spain,Spanish,Spaniards
Sri Lanka,Sri Lankan,Sri Lankans
Sudan,Sudanese,Sudanese
Suriname,Surinamese,Surinamers
Svalbard,Svalbard,Svalbard residents
Sweden,Swedish,Swedes
Switzerland,Swiss,Swiss
Syria,Syrian,Syrians
Taiwan,Taiwanese,Taiwanese
Taiwan,Formosan,Formosans
Tajikistan,Tajikistani,Tajikistanis
Tajikistan,Tajikistani,Tajiks
Tanzania,Tanzanian,Tanzanians
Thailand,Thai,Thai
Timor-Leste,Timorese,Timorese
Togo,Togolese,Togolese
Tokelau,Tokelauan,Tokelauans
Tonga,Tongan,Tongans
Trinidad and Tobago,Trinidadian,Trinidadians
Trinidad and Tobago,Tobagonian,Tobagonians
Tunisia,Tunisian,Tunisians
Turkey,Turkish,Turks
Turkmenistan,Turkmen,Turkmens
Turks and Caicos Islands,Turks and Caicos Island,Turks and Caicos Islanders
Tuvalu,Tuvaluan,Tuvaluans
Uganda,Ugandan,Ugandans
Ukraine,Ukrainian,Ukrainians
United Arab Emirates,Emirati,Emiratis
United Arab Emirates,Emirian,Emirians
United Arab Emirates,Emiri,Emiri
United Kingdom of Great Britain and Northern Ireland,British,Britons
United Kingdom of Great Britain and Northern Ireland,United Kingdom,British people
United Kingdom of Great Britain and Northern Ireland,UK,British people
United States of America,American,Americans
United States of America,United States,Americans
United States of America,U.S.,Americans
Uruguay,Uruguayan,Uruguayans
Uzbekistan,Uzbekistani,Uzbekistanis
Uzbekistan,Uzbek,Uzbeks
Vanuatu,Ni-Vanuatu,Ni-Vanuatu
Vanuatu,Vanuatuan,Ni-Vanuatu
Vatican City,Vatican,Vatican citizens
Venezuela,Venezuelan,Venezuelans
Vietnam,Vietnamese,Vietnamese
British Virgin Islands,British Virgin Island,British Virgin Islanders
United States Virgin Islands,U.S. Virgin Island,U.S. Virgin Islanders
Wales,Welsh,Welshmen
Wales,Welsh,Welshwomen
Wallis and Futuna,Wallis and Futuna,Wallis and Futuna Islanders
Wallis and Futuna,Wallisian,Wallisians
Wallis and Futuna,Futunan,Futunans
Western Sahara,Sahrawi,Sahrawis
Western Sahara,Sahrawian,Sahraouis
Western Sahara,Sahraouian,Sahraouis
Yemen,Yemeni,Yemenis
Zambia,Zambian,Zambians
Zanzibar,Zanzibari,Zanzibaris
Zimbabwe,Zimbabwean,Zimbabweans
